类别,金额,备注
超市,5.38,ALBERTSONS
超市,32.93,FRESH FARM OUTLET
超市,11.79,7-ELEVEN
超市,100.00,UCI MARKETPLACE
超市,1.51,ABC*P 00970 PF ALHAMBRA
房租水电网,600.00,October Rent
房租水电网,150.00,房租/水电/网费相关
房租水电网,25.00,Zelle-房租/水电/网费相关
房租水电网,25.00,Zelle-房租/水电/网费相关
房租水电网,26.50,Zelle-房租/水电/网费相关
房租水电网,16.00,Zelle-房租/水电/网费相关
房租水电网,25.68,Zelle-房租/水电/网费相关
餐厅,8.60,McDonalds
餐厅,5.00,TSTCHA FOR TEA
餐厅,15.99,ARA UCI BRANDYWINE
餐厅,17.67,UEPTOP ONE KITCHEN CUISI
餐厅,1.01,ABCP 00970 PF ALHAMBRA
餐厅,15.79,ABCP 00970 PF ALHAMBRA
餐厅,59.70,Chili House
餐厅,10.93,MCDONALDS
餐厅,17.50,2 N LAKE PASADENA
餐厅,43.34,UEP*TEN SECONDS
餐厅,22.08,NORTHERN CAFE
餐厅,39.36,YUNNAN RESTAURANT
餐厅,7.74,JIU JI DESSERT
车相关,6.00,JAMBOREE CAR WASH
车相关,144.79,TUSTIN MAZDA FIXED
车相关,39.29,COSTCO GAS
车相关,37.12,COSTCO GAS
车相关,282.00,HENRYS TOWING & RECOVERY
车相关,18.30,COSTCO GAS
车相关,275.00,CITY OF ALHAMBRA POLICE - 罚单
车相关,5.50,CITY OF ALHAMBRA O N PE - 停车/罚单
车相关,5.50,CITY OF ALHAMBRA PD ONL - 停车/罚单
车相关,5.50,CITY OF ALHAMBRA PD ONL - 停车/罚单
车相关,5.50,CITY OF ALHAMBRA PD ONL - 停车/罚单
车相关,5.50,CITY OF ALHAMBRA PD ONL - 停车/罚单
车相关,5.50,CITY OF ALHAMBRA PD ONL - 停车/罚单
车相关,447.00,CA DMV PASADENA SST - 车辆注册/牌照
车相关,8.72,CA DMV FEE
车相关,352.12,ALLSTATE NBINDCO - 车险
车相关,11.83,ALLSTATE INS CO - 车险
订阅,14.99,Adobe Inc
订阅,1.99,GOOGLE Google One
订阅,3.99,APPLE.COM/BILL
订阅,11.99,MICROSOFTPC G
订阅,2.99,APPLE.COM/BILL
订阅,2.99,APPLE.COM/BILL
其他,5.00,CITY OF ALHAMBRA PD KIOSK - 杂项/服务费
其他,16.80,THE HOME DEPOT - 家居用品/杂项
其他,44.15,MICRO CENTER - 电子产品/配件
其他,16.69,ROUND1 FB - 娱乐
其他,27.59,BEST BUY - 电子产品/配件
其他,9.95,zeusx.com - 游戏/数字服务
其他,0.51,Amazon web services - AWS费用
其他,69.95,FS *ADEPT Driver - 驾校/课程
其他,128.00,KNOTT'S BERRY FARM ONLI - 门票/娱乐
其他,40.00,KNOTT'S BERRY FARM ONLI - 门票/娱乐
其他,7.72,McDonalds - 餐厅，已包含在内，此处保留用途备注
其他,20.00,CURSOR, AI POWERED IDE - 软件/工具
其他,20.24,Zelle-未知用途
其他,32.00,Zelle-未知用途
其他,16.15,Zelle-未知用途
其他,32.00,Zelle-未知用途
其他,32.00,Zelle-未知用途
其他,18.98,Zelle-未知用途
其他,1000.00,Depositpart1 - 押金
其他,11.75,LATE FEE FOR PAYMENT DUE - 滞纳金
其他,15.00,Wire Transfer Fee - 电汇费
其他,27.59,BEST BUY - 电子产品/配件
其他,14.79,TUSTIN MAZDA FIXED - 汽车维修
其他,7.72,McDonalds
其他,275.00,CITY OF ALHAMBRA POLICE - 罚单

